lang,authors,mean,std,min,max,median,p90,p95
en,9167,2.1143231155230717,0.42865267190122885,1,4,2.0,3.0,3.0
ar,5514,2.557671381936888,0.7342469190264113,1,4,2.0,4.0,4.0
zh,5279,2.399696912293995,0.6573454019500596,1,4,2.0,3.0,4.0
ru,5009,2.4453982830904373,0.6734520219612022,1,4,2.0,3.0,4.0
ko,3549,2.566356720202874,0.7409017846185968,1,4,2.0,4.0,4.0
de,3230,2.1600619195046438,0.48394732481740727,1,4,2.0,3.0,3.0
es,3122,2.61595131326073,0.8431121352494053,1,4,2.0,4.0,4.0
fr,2967,2.1705426356589146,0.4939640481881489,1,4,2.0,3.0,3.0
hi,1649,2.3420254699818073,0.6614826108799214,1,4,2.0,3.0,4.0
ja,1034,2.230174081237911,0.6122487778573186,1,4,2.0,3.0,3.0
