lang,genre,docs,pct_within_lang
ar,news,3912,27.74
ar,poetry,1967,13.95
ar,social_media/sports,1940,13.76
ar,social_media/entertainment,1514,10.74
ar,social_media/people,1235,8.76
ar,social_media/politics,964,6.84
ar,social_media/environment,559,3.96
ar,social_media/technology,530,3.76
ar,social_media/health,257,1.82
ar,social_media/social,257,1.82
ar,social_media/law,211,1.5
ar,social_media/science,201,1.43
ar,social_media/business,166,1.18
ar,social_media/cryptocurrency,146,1.04
ar,social_media/finance,99,0.7
ar,social_media/investing,79,0.56
ar,social_media/economy,66,0.47
de,literature,2773,39.74
de,news,1471,21.08
de,social_media/politics,587,8.41
de,social_media/entertainment,356,5.1
de,social_media/people,330,4.73
de,social_media/technology,263,3.77
de,social_media/sports,252,3.61
de,social_media/environment,181,2.59
de,social_media/science,139,1.99
de,social_media/health,129,1.85
de,social_media/social,114,1.63
de,social_media/business,99,1.42
de,social_media/finance,86,1.23
de,social_media/economy,74,1.06
de,social_media/cryptocurrency,46,0.66
de,social_media/law,39,0.56
de,social_media/investing,38,0.54
en,news,6078,31.36
en,ecommerce_reviews,4806,24.8
en,blog/indunk,2204,11.37
en,blog/student,1590,8.2
en,research_paper,373,1.92
en,blog/technology,341,1.76
en,social_media/entertainment,324,1.67
en,blog/education,309,1.59
en,social_media/people,268,1.38
en,blog/arts,227,1.17
en,social_media/technology,225,1.16
en,social_media/politics,213,1.1
en,social_media/sports,201,1.04
en,blog/communications-media,174,0.9
en,blog/internet,160,0.83
en,blog/non-profit,124,0.64
en,social_media/cryptocurrency,122,0.63
en,blog/engineering,118,0.61
en,social_media/social,94,0.48
en,social_media/health,90,0.46
en,social_media/environment,76,0.39
en,social_media/business,75,0.39
en,blog/government,72,0.37
en,blog/law,72,0.37
en,social_media/science,71,0.37
en,blog/science,61,0.31
en,blog/marketing,49,0.25
en,blog/military,45,0.23
en,blog/publishing,45,0.23
en,blog/advertising,42,0.22
en,blog/banking,42,0.22
en,blog/consulting,41,0.21
en,blog/fashion,41,0.21
en,blog/religion,41,0.21
en,blog/telecommunications,41,0.21
en,blog/chemicals,40,0.21
en,blog/businessservices,39,0.2
en,blog/accounting,38,0.2
en,social_media/finance,38,0.2
en,blog/architecture,32,0.17
en,blog/manufacturing,30,0.15
en,social_media/investing,28,0.14
en,blog/tourism,26,0.13
en,blog/transportation,26,0.13
en,blog/humanresources,24,0.12
en,social_media/economy,22,0.11
en,blog/construction,21,0.11
en,blog/museums-libraries,21,0.11
en,social_media/law,20,0.1
en,blog/agriculture,19,0.1
en,blog/sports-recreation,19,0.1
en,blog/realestate,16,0.08
en,blog/lawenforcement-security,14,0.07
en,blog/biotech,13,0.07
en,blog/environment,12,0.06
en,blog/investmentbanking,12,0.06
en,blog/automotive,9,0.05
en,blog/maritime,8,0.04
es,literature,4347,53.23
es,news,1998,24.46
es,social_media/politics,327,4.0
es,social_media/entertainment,313,3.83
es,social_media/people,230,2.82
es,social_media/sports,220,2.69
es,social_media/technology,135,1.65
es,social_media/health,105,1.29
es,social_media/environment,89,1.09
es,social_media/science,86,1.05
es,social_media/social,83,1.02
es,social_media/business,59,0.72
es,social_media/economy,43,0.53
es,social_media/finance,43,0.53
es,social_media/law,39,0.48
es,social_media/cryptocurrency,32,0.39
es,social_media/investing,14,0.17
es,ecommerce_reviews,4,0.05
fr,literature,2872,44.6
fr,news,1563,24.27
fr,social_media/politics,530,8.23
fr,social_media/entertainment,314,4.88
fr,social_media/sports,232,3.6
fr,social_media/people,209,3.25
fr,social_media/technology,191,2.97
fr,social_media/environment,88,1.37
fr,social_media/social,85,1.32
fr,social_media/science,83,1.29
fr,social_media/health,53,0.82
fr,social_media/cryptocurrency,45,0.7
fr,social_media/economy,40,0.62
fr,social_media/business,37,0.57
fr,social_media/law,37,0.57
fr,social_media/finance,36,0.56
fr,social_media/investing,25,0.39
hi,social_media/politics,868,22.48
hi,social_media/people,752,19.47
hi,social_media/entertainment,509,13.18
hi,social_media/environment,241,6.24
hi,social_media/social,232,6.01
hi,social_media/technology,211,5.46
hi,social_media/health,204,5.28
hi,literature,177,4.58
hi,social_media/science,119,3.08
hi,social_media/business,104,2.69
hi,social_media/law,100,2.59
hi,social_media/sports,98,2.54
hi,social_media/finance,87,2.25
hi,social_media/economy,82,2.12
hi,social_media/investing,42,1.09
hi,social_media/cryptocurrency,36,0.93
ja,news,1731,75.07
ja,social_media/entertainment,154,6.68
ja,social_media/people,86,3.73
ja,social_media/environment,56,2.43
ja,social_media/technology,45,1.95
ja,social_media/social,40,1.73
ja,social_media/health,34,1.47
ja,social_media/science,31,1.34
ja,social_media/politics,29,1.26
ja,social_media/sports,26,1.13
ja,social_media/business,19,0.82
ja,social_media/cryptocurrency,15,0.65
ja,social_media/finance,12,0.52
ja,social_media/investing,12,0.52
ja,social_media/law,9,0.39
ja,social_media/economy,7,0.3
ko,news,3647,40.04
ko,social_media/people,1414,15.52
ko,social_media/entertainment,1326,14.56
ko,social_media/technology,522,5.73
ko,social_media/environment,485,5.32
ko,social_media/social,267,2.93
ko,social_media/science,225,2.47
ko,social_media/politics,211,2.32
ko,social_media/health,193,2.12
ko,social_media/cryptocurrency,185,2.03
ko,social_media/investing,168,1.84
ko,social_media/sports,152,1.67
ko,social_media/business,132,1.45
ko,social_media/law,66,0.72
ko,social_media/finance,65,0.71
ko,social_media/economy,50,0.55
ru,literature,3666,29.93
ru,news,3492,28.51
ru,social_media/entertainment,985,8.04
ru,social_media/people,903,7.37
ru,social_media/politics,873,7.13
ru,social_media/technology,412,3.36
ru,social_media/health,297,2.42
ru,social_media/social,295,2.41
ru,social_media/environment,289,2.36
ru,social_media/science,231,1.89
ru,social_media/finance,164,1.34
ru,social_media/business,157,1.28
ru,social_media/sports,150,1.22
ru,social_media/economy,116,0.95
ru,social_media/cryptocurrency,91,0.74
ru,social_media/law,66,0.54
ru,social_media/investing,62,0.51
zh,media_reviews/douban,5377,42.45
zh,social_media/xiaohongshu,3165,24.98
zh,news,3035,23.96
zh,social_media/politics,192,1.52
zh,social_media/technology,149,1.18
zh,social_media/people,140,1.11
zh,social_media/entertainment,115,0.91
zh,social_media/cryptocurrency,89,0.7
zh,social_media/environment,57,0.45
zh,social_media/economy,56,0.44
zh,social_media/science,54,0.43
zh,social_media/social,51,0.4
zh,social_media/business,40,0.32
zh,social_media/sports,39,0.31
zh,social_media/health,37,0.29
zh,social_media/investing,30,0.24
zh,social_media/finance,26,0.21
zh,social_media/law,16,0.13
