genre,docs,pct_all_docs
news,26927,28.27
literature,13835,14.52
social_media/entertainment,5910,6.2
social_media/people,5567,5.84
media_reviews/douban,5377,5.64
ecommerce_reviews,4810,5.05
social_media/politics,4794,5.03
social_media/sports,3310,3.47
social_media/xiaohongshu,3165,3.32
social_media/technology,2683,2.82
blog/indunk,2204,2.31
social_media/environment,2121,2.23
poetry,1967,2.06
blog/student,1590,1.67
social_media/social,1518,1.59
social_media/health,1399,1.47
social_media/science,1240,1.3
social_media/business,888,0.93
social_media/cryptocurrency,807,0.85
social_media/finance,656,0.69
social_media/law,603,0.63
social_media/economy,556,0.58
social_media/investing,498,0.52
research_paper,373,0.39
blog/technology,341,0.36
blog/education,309,0.32
blog/arts,227,0.24
blog/communications-media,174,0.18
blog/internet,160,0.17
blog/non-profit,124,0.13
blog/engineering,118,0.12
blog/government,72,0.08
blog/law,72,0.08
blog/science,61,0.06
blog/marketing,49,0.05
blog/publishing,45,0.05
blog/military,45,0.05
blog/advertising,42,0.04
blog/banking,42,0.04
blog/religion,41,0.04
blog/telecommunications,41,0.04
blog/fashion,41,0.04
blog/consulting,41,0.04
blog/chemicals,40,0.04
blog/businessservices,39,0.04
blog/accounting,38,0.04
blog/architecture,32,0.03
blog/manufacturing,30,0.03
blog/transportation,26,0.03
blog/tourism,26,0.03
blog/humanresources,24,0.03
blog/museums-libraries,21,0.02
blog/construction,21,0.02
blog/sports-recreation,19,0.02
blog/agriculture,19,0.02
blog/realestate,16,0.02
blog/lawenforcement-security,14,0.01
blog/biotech,13,0.01
blog/investmentbanking,12,0.01
blog/environment,12,0.01
blog/automotive,9,0.01
blog/maritime,8,0.01
