doc_type,lang,docs,pct_within_doc_type,pct_all_docs
candidate,en,10167,19.64,10.67
candidate,ar,7847,15.16,8.24
candidate,zh,6970,13.47,7.32
candidate,ru,6774,13.09,7.11
candidate,ko,5077,9.81,5.33
candidate,es,4421,8.54,4.64
candidate,de,3707,7.16,3.89
candidate,fr,3445,6.66,3.62
candidate,hi,2100,4.06,2.2
candidate,ja,1251,2.42,1.31
query,en,9215,21.18,9.67
query,ar,6256,14.38,6.57
query,zh,5698,13.1,5.98
query,ru,5475,12.59,5.75
query,ko,4031,9.27,4.23
query,es,3746,8.61,3.93
query,de,3270,7.52,3.43
query,fr,2995,6.88,3.14
query,hi,1762,4.05,1.85
query,ja,1055,2.43,1.11
