split,doc_type,lang,docs,pct_within_split_doc_type
dev,candidate,en,196,18.18
dev,candidate,ar,180,16.7
dev,candidate,ru,160,14.84
dev,candidate,zh,127,11.78
dev,candidate,es,112,10.39
dev,candidate,ko,108,10.02
dev,candidate,de,63,5.84
dev,candidate,fr,57,5.29
dev,candidate,hi,52,4.82
dev,candidate,ja,23,2.13
dev,query,en,189,18.17
dev,query,ar,173,16.63
dev,query,ru,153,14.71
dev,query,zh,127,12.21
dev,query,es,105,10.1
dev,query,ko,99,9.52
dev,query,de,64,6.15
dev,query,fr,57,5.48
dev,query,hi,50,4.81
dev,query,ja,23,2.21
test,candidate,ar,195,19.38
test,candidate,en,148,14.71
test,candidate,ru,139,13.82
test,candidate,zh,131,13.02
test,candidate,es,107,10.64
test,candidate,ko,97,9.64
test,candidate,de,66,6.56
test,candidate,fr,64,6.36
test,candidate,hi,40,3.98
test,candidate,ja,19,1.89
test,query,ar,189,19.44
test,query,en,146,15.02
test,query,ru,133,13.68
test,query,zh,127,13.07
test,query,es,101,10.39
test,query,ko,92,9.47
test,query,de,65,6.69
test,query,fr,62,6.38
test,query,hi,40,4.12
test,query,ja,17,1.75
train,candidate,en,9823,19.77
train,candidate,ar,7472,15.04
train,candidate,zh,6712,13.51
train,candidate,ru,6475,13.03
train,candidate,ko,4872,9.81
train,candidate,es,4202,8.46
train,candidate,de,3578,7.2
train,candidate,fr,3324,6.69
train,candidate,hi,2008,4.04
train,candidate,ja,1209,2.43
train,query,en,8880,21.4
train,query,ar,5894,14.21
train,query,zh,5444,13.12
train,query,ru,5189,12.51
train,query,ko,3840,9.26
train,query,es,3540,8.53
train,query,de,3141,7.57
train,query,fr,2876,6.93
train,query,hi,1672,4.03
train,query,ja,1015,2.45
