lang,primary_genre,docs,pct_within_lang
ar,social_media,8224,58.31
ar,news,3912,27.74
ar,poetry,1967,13.95
de,literature,2773,39.74
de,social_media,2733,39.17
de,news,1471,21.08
en,blog,6258,32.29
en,news,6078,31.36
en,ecommerce_reviews,4806,24.8
en,social_media,1867,9.63
en,research_paper,373,1.92
es,literature,4347,53.23
es,news,1998,24.46
es,social_media,1818,22.26
es,ecommerce_reviews,4,0.05
fr,literature,2872,44.6
fr,social_media,2005,31.13
fr,news,1563,24.27
hi,social_media,3685,95.42
hi,literature,177,4.58
ja,news,1731,75.07
ja,social_media,575,24.93
ko,social_media,5461,59.96
ko,news,3647,40.04
ru,social_media,5091,41.56
ru,literature,3666,29.93
ru,news,3492,28.51
zh,media_reviews,5377,42.45
zh,social_media,4256,33.6
zh,news,3035,23.96
