lang,token_length_bucket,docs,pct_within_lang
ar,medium,8069,57.21
ar,long,5200,36.87
ar,short,788,5.59
ar,extra_long,46,0.33
de,long,3329,47.71
de,medium,3326,47.67
de,short,230,3.3
de,extra_long,92,1.32
en,medium,12606,65.04
en,short,3539,18.26
en,long,2422,12.5
en,extra_long,815,4.2
es,long,4522,55.37
es,medium,3214,39.35
es,short,421,5.15
es,extra_long,10,0.12
fr,long,3404,52.86
fr,medium,2768,42.98
fr,short,221,3.43
fr,extra_long,47,0.73
hi,long,2197,56.89
hi,medium,1640,42.47
hi,short,25,0.65
ja,medium,1415,61.36
ja,long,792,34.35
ja,short,99,4.29
ko,medium,5330,58.52
ko,long,3119,34.24
ko,short,659,7.24
ru,medium,6346,51.81
ru,long,5563,45.42
ru,short,293,2.39
ru,extra_long,47,0.38
zh,medium,8200,64.73
zh,long,2905,22.93
zh,short,1561,12.32
zh,extra_long,2,0.02
