lang,docs,mean,std,min,max,median,p10,p25,p50,p75,p90,p95
en,19382,86.35646476111856,189.93580369171266,1,2087,33.0,8.0,15.0,33.0,70.0,151.0,352.9500000000007
ar,14103,94.31326668084805,87.63354741166872,1,2002,75.0,24.0,51.0,75.0,124.0,178.0,188.0
zh,12668,63.589990527312914,60.893079994278565,1,800,38.0,9.0,17.0,38.0,96.0,154.0,181.0
ru,12249,99.32263858274145,117.89523730882668,2,1983,94.0,23.0,44.0,94.0,121.0,145.0,211.0
ko,9108,90.80379885814668,78.158051775042,2,323,69.0,13.0,28.0,69.0,127.0,233.0,267.0
es,8167,131.311864821844,115.15580638995995,2,1949,106.0,23.0,44.0,106.0,179.0,290.0,371.0
de,6977,133.17056041278485,208.4731570271024,2,1998,100.0,29.0,48.0,100.0,146.0,232.0,299.1999999999998
fr,6440,147.52717391304347,175.44927585923116,2,2044,104.0,27.0,52.0,104.0,178.0,350.0,415.0
hi,3862,139.06136716727084,84.39770379027837,4,354,127.0,33.0,62.0,127.0,218.0,261.0,270.0
ja,2306,87.02992194275802,48.06388976230324,2,315,89.0,23.0,57.0,89.0,110.0,137.5,162.0
