lang,doc_type,docs,mean,std,min,max,median,p10,p25,p50,p75,p90,p95
en,candidate,10167,87.32221894364119,194.54792161297615,1,2014,32.0,8.0,15.0,32.0,70.0,156.39999999999964,360.0
en,query,9215,85.2909386869235,184.71832168732803,1,2087,33.0,8.0,16.0,33.0,70.0,147.0,349.0
ar,candidate,7847,94.80425640372117,95.52205013462347,1,1995,75.0,25.0,51.0,75.0,123.0,178.0,188.0
zh,candidate,6970,63.89756097560976,60.88535441583063,1,800,39.0,9.0,17.0,39.0,96.0,153.0,181.0
ru,candidate,6774,99.27797460879835,114.74354767236066,2,1982,94.0,23.0,44.0,94.0,121.0,146.0,213.0
ar,query,6256,93.6974104859335,76.60196435427511,1,2002,75.0,24.0,51.0,75.0,125.0,178.0,189.0
zh,query,5698,63.21375921375921,60.90576007114083,1,415,37.0,9.0,16.0,37.0,96.0,155.0,181.0
ru,query,5475,99.377899543379,121.69230915914375,2,1983,94.0,23.0,44.0,94.0,121.0,144.0,208.0
ko,candidate,5077,90.6155209769549,78.10338400337817,2,323,68.0,13.0,28.0,68.0,127.0,232.0,268.0
es,candidate,4421,132.9242252883963,113.26522513649013,2,1949,108.0,24.0,45.0,108.0,181.0,292.0,370.0
ko,query,4031,91.04093277102456,78.23589741411402,2,314,70.0,13.0,27.0,70.0,128.0,234.0,267.0
es,query,3746,129.40896956753872,117.33454215195391,2,1947,105.0,22.0,42.0,105.0,176.75,285.0,371.0
de,candidate,3707,134.99460480172647,206.371465658715,2,1994,101.0,30.0,49.0,101.0,151.0,234.0,309.0
fr,candidate,3445,149.32859216255443,172.56756325853112,2,2044,104.0,27.400000000000034,54.0,104.0,187.0,355.0,418.0
de,query,3270,131.102752293578,210.84290295451302,2,1998,100.0,27.0,48.0,100.0,139.0,230.0,283.0
fr,query,2995,145.4550918196995,178.71295292274723,2,1951,103.0,27.0,51.0,103.0,169.0,341.5999999999999,407.0
hi,candidate,2100,139.68142857142857,84.57279319661727,4,354,127.0,34.900000000000006,62.0,127.0,219.0,261.0,270.0
hi,query,1762,138.32236095346198,84.20658494963699,5,314,126.5,33.0,62.0,126.5,217.0,262.0,270.0
ja,candidate,1251,87.16546762589928,48.194379325406196,2,315,89.0,24.0,57.5,89.0,109.0,137.0,165.5
ja,query,1055,86.86919431279621,47.931045791621656,2,300,89.0,22.0,55.5,89.0,111.0,137.60000000000002,160.0
