primary_genre,lang,docs,mean,std,min,max,median,p10,p25,p50,p75,p90,p95
social_media,ar,8224,68.09143968871595,49.37019524660937,1,363,59.0,11.0,41.0,59.0,77.0,145.0,181.0
blog,en,6258,167.2981783317354,305.130890098944,1,2087,61.0,7.0,17.0,61.0,111.0,569.3000000000002,799.0
news,en,6078,25.27130635077328,15.101878891828274,1,125,24.0,7.0,11.0,24.0,35.0,46.0,54.0
social_media,ko,5461,55.67295367148874,48.90967584305547,2,300,37.0,10.0,18.0,37.0,82.0,136.0,160.0
media_reviews,zh,5377,57.12534870745769,58.30014178201166,2,800,31.0,8.0,15.0,31.0,87.0,153.0,174.0
social_media,ru,5091,70.32429778039678,44.32897553050822,2,489,64.0,16.0,31.0,64.0,109.0,132.0,139.0
ecommerce_reviews,en,4806,44.35871826883063,42.21925223217022,3,434,31.0,9.0,17.0,31.0,57.0,100.0,124.0
literature,es,4347,185.06188175753394,118.72685799529782,10,1949,140.0,98.0,108.0,140.0,231.0,358.0,416.0
social_media,zh,4256,50.287124060150376,58.78717642047456,1,367,23.0,7.0,13.0,23.0,65.0,143.0,176.0
news,ar,3912,120.0823108384458,48.27675132995898,4,200,113.0,54.0,83.0,113.0,173.0,181.0,185.0
social_media,hi,3685,141.5337856173677,84.66721122613355,4,314,132.0,33.0,63.0,132.0,221.0,262.0,270.0
literature,ru,3666,172.0316421167485,187.03679287970843,14,1983,122.0,101.0,108.0,122.0,162.0,280.0,380.0
news,ko,3647,143.40855497669318,84.02019787778418,6,323,112.0,51.0,83.0,112.0,232.5,272.0,283.0
news,ru,3492,65.26746849942727,35.148831101767115,5,189,58.0,24.0,35.0,58.0,94.0,119.0,126.0
news,zh,3035,93.6978583196046,58.15853567855637,4,406,88.0,29.0,54.0,88.0,110.5,170.0,212.0
literature,fr,2872,231.15146239554318,224.49896931127387,10,2044,145.0,100.0,108.0,145.0,325.0,421.0,466.0
literature,de,2773,203.68373602596466,303.8634476510137,11,1998,118.0,99.0,103.0,118.0,174.0,310.8000000000002,452.0
social_media,de,2733,108.5477497255763,86.02777356922874,2,458,79.0,16.0,38.0,79.0,194.0,231.0,244.0
social_media,fr,2005,105.07830423940149,83.08612846697055,2,471,88.0,14.400000000000006,38.0,88.0,142.0,225.0,243.0
news,es,1998,36.308808808808806,18.456359019722168,2,85,36.0,9.0,24.0,36.0,47.0,65.0,70.0
poetry,ar,1967,152.69649211997967,180.68352447070396,15,2002,114.0,64.0,101.0,114.0,130.0,253.0,378.4999999999991
social_media,en,1867,111.88162828066417,109.08364991806994,1,437,64.0,10.0,25.0,64.0,157.0,309.0,337.0
social_media,es,1818,107.32288228822883,89.91802500470493,2,432,75.5,12.0,33.0,75.5,192.0,233.0,246.0
news,ja,1731,94.26747544771808,43.32379206490437,5,303,94.0,44.0,70.0,94.0,111.0,136.0,168.5
news,fr,1563,48.32117722328855,19.543653639709497,2,95,48.0,23.0,34.0,48.0,65.0,74.0,78.0
news,de,1471,45.99252209381373,16.373757786252934,3,88,45.0,28.0,36.0,45.0,56.0,69.0,74.0
social_media,ja,575,65.24173913043478,54.64649457918095,2,315,50.0,8.0,20.0,50.0,102.0,142.0,156.0
research_paper,en,373,137.10187667560322,165.07320084209175,5,1307,81.0,22.400000000000006,49.0,81.0,138.0,365.6000000000003,555.9999999999999
literature,hi,177,87.58757062146893,58.45602915553509,9,354,72.0,32.0,50.0,72.0,111.0,170.20000000000002,198.19999999999993
ecommerce_reviews,es,4,75.5,40.74718804203958,37,132,66.5,43.300000000000004,52.75,66.5,89.25,114.9,123.44999999999997
